NODE_605_length_2200_cov_2.858741_3	Pfam,Pfam,TIGRFAM,Hamap	PF00333,PF03719,TIGR01021,MF_01307_B	IPR013810,IPR005324,IPR005712	Ribosomal protein S5, N-terminal domain,Ribosomal protein S5, C-terminal domain,rpsE_bact: ribosomal protein uS5,30S ribosomal protein S5 [rpsE].	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935	"NA"
NODE_62_length_38266_cov_276.040538_13	TIGRFAM,Pfam,CDD	TIGR02884,PF01522,cd10948	IPR014235,IPR002509	spore_pdaA: delta-lactam-biosynthetic de-N-acetylase,Polysaccharide deacetylase,CE4_BsPdaA_like	GO:0005975,GO:0016810	"NA"
NODE_62_length_38266_cov_276.040538_14	Pfam,Hamap,TIGRFAM,TIGRFAM,Pfam	PF01641,MF_01401,TIGR00357,TIGR00401,PF01625	IPR002579,IPR002569	SelR domain,Peptide methionine sulfoxide reductase MsrA [msrA].,TIGR00357: methionine-R-sulfoxide reductase,msrA: peptide-methionine (S)-S-oxide reductase,Peptide methionine sulfoxide reductase	GO:0033743,GO:0055114,GO:0008113	"NA"
NODE_62_length_38266_cov_276.040538_15	Pfam,CDD	PF01212,cd00617	IPR001597	Beta-eliminating lyase,Tnase_like	GO:0006520,GO:0016829	"NA"
NODE_62_length_38266_cov_276.040538_16	Pfam,CDD,Pfam	PF00392,cd07377,PF07729	IPR000524,IPR011711	Bacterial regulatory proteins, gntR family,WHTH_GntR,FCD domain	GO:0003700,GO:0006355	"NA"
NODE_62_length_38266_cov_276.040538_17	Pfam	PF00701	IPR002220	Dihydrodipicolinate synthetase family	GO:0008152,GO:0016829	"NA"
NODE_62_length_38266_cov_276.040538_18	Pfam	PF03594	IPR004711	Benzoate membrane transport protein	GO:0016021,GO:0042919,GO:0042925	"NA"
NODE_62_length_38266_cov_276.040538_2	CDD,Pfam	cd04301,PF00583	IPR000182	NAT_SF,Acetyltransferase (GNAT) family	GO:0008080	"NA"
NODE_62_length_38266_cov_276.040538_22	CDD,TIGRFAM	cd16320,TIGR01439	IPR035642,IPR007159	MraZ_N,lp_hng_hel_AbrB: transcriptional regulator, AbrB family	GO:0003677	"NA"
NODE_62_length_38266_cov_276.040538_23	Pfam	PF15781	IPR031552	ParE-like toxin of type II bacterial toxin-antitoxin system	"NA"	"NA"
NODE_62_length_38266_cov_276.040538_25	Pfam,Pfam,CDD,CDD	PF07833,PF07833,cd00063,cd15482	IPR012854,IPR003961	Copper amine oxidase N-terminal domain,Copper amine oxidase N-terminal domain,FN3,Sialidase_non-viral	GO:0005515	"NA"
NODE_62_length_38266_cov_276.040538_27	Pfam,TIGRFAM,CDD	PF01588,TIGR02222,cd02798	IPR002547,IPR008231	Putative tRNA binding domain,chap_CsaA: export-related chaperone protein CsaA,tRNA_bind_CsaA	GO:0000049	"NA"
NODE_62_length_38266_cov_276.040538_28	Pfam,TIGRFAM	PF13337,TIGR02688	IPR014061	Putative ATP-dependent Lon protease,TIGR02688: TIGR02688 family protein	"NA"	"NA"
NODE_62_length_38266_cov_276.040538_3	Pfam,CDD	PF13641,cd06423	"NA"	Glycosyltransferase like family 2,CESA_like	"NA"	"NA"
NODE_62_length_38266_cov_276.040538_32	CDD,Pfam	cd01713,PF01507	IPR002500	PAPS_reductase,Phosphoadenosine phosphosulfate reductase family	GO:0003824,GO:0008152	"NA"
NODE_62_length_38266_cov_276.040538_5	TIGRFAM,CDD,Pfam	TIGR00608,cd08071,PF04002	IPR001405,IPR025657	radc: DNA repair protein RadC,MPN_DUF2466,RadC-like JAB domain	"NA"	"NA"
NODE_62_length_38266_cov_276.040538_6	Pfam,CDD,Pfam,Hamap	PF11799,cd03586,PF00817,MF_01113	IPR017961,IPR022880,IPR001126	impB/mucB/samB family C-terminal domain,PolY_Pol_IV_kappa,impB/mucB/samB family,DNA polymerase IV [dinB].	GO:0003684,GO:0006281,GO:0003887	KEGG:00230+2.7.7.7,KEGG:00240+2.7.7.7
NODE_62_length_38266_cov_276.040538_7	Pfam	PF01435	IPR001915	Peptidase family M48	GO:0004222,GO:0006508	"NA"
NODE_620_length_2174_cov_506.180274_1	Pfam	PF03235	IPR004919	Protein of unknown function DUF262	"NA"	"NA"
NODE_6201_length_289_cov_1.141026_1	Pfam	PF00702	"NA"	haloacid dehalogenase-like hydrolase	"NA"	"NA"
NODE_6202_length_289_cov_0.910256_1	Pfam	PF16320	IPR008932	Ribosomal protein L7/L12 dimerisation domain	GO:0003735,GO:0005622,GO:0005840,GO:0006412	"NA"
NODE_6203_length_289_cov_0.910256_1	TIGRFAM,Pfam	TIGR01451,PF01345	IPR001434	B_ant_repeat: conserved repeat domain,Domain of unknown function DUF11	"NA"	"NA"
NODE_6204_length_289_cov_0.910256_1	Pfam,Pfam	PF13187,PF01077	IPR017896,IPR006067	4Fe-4S dicluster domain,Nitrite and sulphite reductase 4Fe-4S domain	GO:0016491,GO:0020037,GO:0051536,GO:0055114	KEGG:00920+1.8.1.2
NODE_6205_length_289_cov_0.897436_1	Pfam	PF00877	IPR000064	NlpC/P60 family	"NA"	"NA"
NODE_621_length_2164_cov_2.963964_2	Hamap,Pfam	MF_00532_B,PF00380	IPR023035,IPR000754	30S ribosomal protein S9 [rpsI].,Ribosomal protein S9/S16	GO:0003735,GO:0005840,GO:0006412	"NA"
NODE_621_length_2164_cov_2.963964_3	TIGRFAM,Pfam,CDD,Hamap	TIGR01066,PF00572,cd00392,MF_01366	IPR005823,IPR005822	rplM_bact: ribosomal protein uL13,Ribosomal protein L13,Ribosomal_L13,50S ribosomal protein L13 [rplM].	GO:0003735,GO:0005840,GO:0006412	"NA"
NODE_621_length_2164_cov_2.963964_4	Pfam	PF01416	IPR020097	tRNA pseudouridine synthase	GO:0001522,GO:0003723,GO:0009451,GO:0009982	"NA"
NODE_6211_length_288_cov_1.815451_1	Pfam	PF01261	IPR013022	Xylose isomerase-like TIM barrel	"NA"	"NA"
NODE_6212_length_288_cov_1.523605_1	Pfam,CDD	PF02384,cd02440	IPR003356	N-6 DNA Methylase,AdoMet_MTases	GO:0003677,GO:0006306,GO:0008170	"NA"
NODE_6213_length_288_cov_1.523605_1	Pfam	PF09334	IPR015413	tRNA synthetases class I (M)	GO:0000166,GO:0004812,GO:0005524,GO:0006418	"NA"
NODE_6215_length_288_cov_1.523605_1	Pfam	PF00673	IPR031309	ribosomal L5P family C-terminus	"NA"	"NA"
NODE_6216_length_288_cov_1.523605_1	Pfam	PF00370	IPR018484	FGGY family of carbohydrate kinases, N-terminal domain	GO:0005975,GO:0016773	"NA"
NODE_6218_length_288_cov_1.519313_1	Pfam	PF00464	"NA"	Serine hydroxymethyltransferase	"NA"	"NA"
NODE_622_length_2161_cov_1.696106_1	Pfam	PF00905	IPR001460	Penicillin binding protein transpeptidase domain	GO:0008658	"NA"
NODE_622_length_2161_cov_1.696106_2	CDD,Pfam,Pfam,TIGRFAM,TIGRFAM	cd06171,PF04545,PF04542,TIGR02937,TIGR02846	IPR007630,IPR007627,IPR014284,IPR014209	Sigma70_r4,Sigma-70, region 4,Sigma-70 region 2,sigma70-ECF: RNA polymerase sigma factor, sigma-70 family,spore_sigmaK: RNA polymerase sigma-K factor	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987	"NA"
NODE_622_length_2161_cov_1.696106_3	Pfam,CDD,TIGRFAM,TIGRFAM,TIGRFAM	PF09419,cd16416,TIGR01549,TIGR01668,TIGR01662	IPR027706,IPR006439,IPR010021,IPR006549	Mitochondrial PGP phosphatase,HAD_BsYqeG-like,HAD-SF-IA-v1: HAD hydrolase, family IA, variant 1,YqeG_hyp_ppase: HAD phosphatase, family IIIA,HAD-SF-IIIA: HAD hydrolase, family IIIA	GO:0008152,GO:0016787	KEGG:00564+3.1.3.27
NODE_6220_length_288_cov_1.218884_1	Pfam	PF02719	IPR003869	Polysaccharide biosynthesis protein	"NA"	"NA"
NODE_6221_length_288_cov_1.214592_1	Pfam	PF02885	IPR017459	Glycosyl transferase family, helical bundle domain	"NA"	"NA"
NODE_6222_length_288_cov_1.214592_1	CDD,Pfam	cd04905,PF01842	IPR002912	ACT_CM-PDT,ACT domain	"NA"	"NA"
NODE_6223_length_288_cov_1.214592_1	Pfam	PF13561	"NA"	Enoyl-(Acyl carrier protein) reductase	"NA"	"NA"
NODE_6224_length_288_cov_1.214592_1	Pfam	PF02729	IPR006132	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain	GO:0006520,GO:0016743	"NA"
NODE_6228_length_288_cov_0.914163_1	Pfam	PF03358	IPR005025	NADPH-dependent FMN reductase	GO:0016491	"NA"
NODE_6229_length_288_cov_0.909871_1	Pfam	PF00571	IPR000644	CBS domain	"NA"	"NA"
NODE_623_length_2154_cov_15.247737_2	CDD,Pfam	cd03429,PF00293	IPR000086	NADH_pyrophosphatase,NUDIX domain	GO:0016787	"NA"
NODE_623_length_2154_cov_15.247737_3	Hamap,TIGRFAM,CDD,Pfam	MF_00446,TIGR00223,cd06919,PF02261	IPR003190	Aspartate 1-decarboxylase [panD].,panD: aspartate 1-decarboxylase,Asp_decarbox,Aspartate decarboxylase	GO:0004068,GO:0006523	KEGG:00410+4.1.1.11,KEGG:00770+4.1.1.11
NODE_623_length_2154_cov_15.247737_4	Pfam	PF01661	IPR002589	Macro domain	"NA"	"NA"
NODE_6234_length_287_cov_2.439655_1	Pfam	PF03123	IPR004341	CAT RNA binding domain	GO:0003723	"NA"
NODE_6236_length_287_cov_1.530172_1	Pfam	PF01751	IPR006171	Toprim domain	"NA"	"NA"
NODE_6237_length_287_cov_1.530172_1	Pfam	PF13683	IPR001584	Integrase core domain	GO:0015074	"NA"
NODE_6239_length_287_cov_1.491379_1	Pfam	PF05746	IPR008909	DALR anticodon binding domain	GO:0004814,GO:0005524,GO:0006420	"NA"
NODE_624_length_2152_cov_2.202194_2	Pfam,CDD,Pfam,Pfam,Pfam	PF02954,cd00009,PF00158,PF13188,PF06506	IPR002197,IPR002078,IPR000014,IPR010524	Bacterial regulatory protein, Fis family,AAA,Sigma-54 interaction domain,PAS domain,Propionate catabolism activator	GO:0043565,GO:0005524,GO:0006355,GO:0008134,GO:0000156,GO:0000160,GO:0003677	"NA"
NODE_6242_length_287_cov_1.366379_1	Pfam	PF17389	IPR035396	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain	"NA"	"NA"
NODE_6244_length_287_cov_1.224138_1	Pfam	PF08713	IPR014825	DNA alkylation repair enzyme	"NA"	"NA"
NODE_6246_length_287_cov_1.219828_1	Pfam	PF03833	IPR016033	DNA polymerase II large subunit DP2	"NA"	KEGG:00230+2.7.7.7,KEGG:00240+2.7.7.7
NODE_6247_length_287_cov_1.219828_1	Pfam	PF00664	IPR011527	ABC transporter transmembrane region	GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085	"NA"
NODE_6249_length_287_cov_1.176724_1	Pfam	PF01979	IPR006680	Amidohydrolase family	GO:0016787	"NA"
NODE_625_length_2147_cov_1.678776_1	Pfam	PF01944	IPR002798	Stage II sporulation protein M	"NA"	"NA"
NODE_625_length_2147_cov_1.678776_2	Hamap,TIGRFAM,Pfam	MF_00201,TIGR00613,PF02565	IPR003717	DNA repair protein RecO [recO].,reco: DNA repair protein RecO,Recombination protein O C terminal	GO:0006281,GO:0006310	"NA"
NODE_625_length_2147_cov_1.678776_3	Pfam,Pfam	PF11258,PF17479	IPR021416,IPR035328	Protein of unknown function (DUF3048) N-terminal domain,Protein of unknown function (DUF3048) C-terminal domain	"NA"	"NA"
NODE_6251_length_287_cov_0.918103_1	Pfam	PF13683	IPR001584	Integrase core domain	GO:0015074	"NA"
NODE_6252_length_287_cov_0.913793_1	Pfam	PF14098	IPR017525	Small, acid-soluble spore protein I	GO:0030436	"NA"
NODE_6254_length_287_cov_0.788793_1	Pfam	PF03684	IPR005369	Uncharacterised protein family (UPF0179)	"NA"	"NA"
NODE_6256_length_286_cov_2.073593_1	Pfam	PF00689	IPR006068	Cation transporting ATPase, C-terminus	"NA"	"NA"
NODE_626_length_2144_cov_2.177118_1	Pfam,TIGRFAM,Pfam,CDD	PF02811,TIGR00594,PF07733,cd12113	IPR004013,IPR004805,IPR011708	PHP domain,polc: DNA polymerase III, alpha subunit,Bacterial DNA polymerase III alpha subunit,PHP_PolIIIA_DnaE3	GO:0003824,GO:0006260,GO:0008408	KEGG:00230+2.7.7.7,KEGG:00240+2.7.7.7
NODE_626_length_2144_cov_2.177118_2	Pfam,Pfam,CDD,Pfam	PF00571,PF00571,cd03440,PF03061	IPR000644,IPR006683	CBS domain,CBS domain,hot_dog,Thioesterase superfamily	"NA"	"NA"
NODE_6260_length_286_cov_1.376623_1	Pfam	PF09334	IPR015413	tRNA synthetases class I (M)	GO:0000166,GO:0004812,GO:0005524,GO:0006418	"NA"
NODE_6261_length_286_cov_1.372294_1	Pfam	PF02775	IPR011766	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	GO:0003824,GO:0030976	"NA"
NODE_6262_length_286_cov_1.229437_1	Pfam	PF02653	IPR001851	Branched-chain amino acid transport system / permease component	GO:0005215,GO:0006810,GO:0016020	"NA"
NODE_6263_length_286_cov_1.229437_1	Pfam	PF00291	IPR001926	Pyridoxal-phosphate dependent enzyme	"NA"	"NA"
NODE_6264_length_286_cov_1.229437_1	Pfam	PF00873	IPR001036	AcrB/AcrD/AcrF family	GO:0005215,GO:0006810,GO:0016020	"NA"
NODE_6265_length_286_cov_1.225108_1	Pfam,TIGRFAM	PF04077,TIGR03011	IPR007215	DsrH like protein,sulf_tusB_dsrH: sulfur relay protein TusB/DsrH	GO:0002143,GO:0005737	"NA"
NODE_6266_length_286_cov_1.203463_2	Pfam	PF12708	IPR024535	Pectate lyase superfamily protein	"NA"	"NA"
NODE_6267_length_286_cov_1.138528_2	Pfam	PF09885	IPR012356	Uncharacterized protein conserved in archaea (DUF2112)	"NA"	"NA"
NODE_6269_length_286_cov_0.922078_1	Pfam,CDD	PF01612,cd06140	IPR002562	3'-5' exonuclease,DNA_polA_I_Bacillus_like_exo	GO:0003676,GO:0006139,GO:0008408	"NA"
NODE_627_length_2142_cov_2.286536_1	Pfam,TIGRFAM,CDD,Hamap	PF01293,TIGR00224,cd00484,MF_00453	IPR001272	Phosphoenolpyruvate carboxykinase,pckA: phosphoenolpyruvate carboxykinase (ATP),PEPCK_ATP,Phosphoenolpyruvate carboxykinase (ATP) [pckA].	GO:0004612,GO:0005524,GO:0006094	KEGG:00010+4.1.1.49,KEGG:00020+4.1.1.49,KEGG:00620+4.1.1.49,KEGG:00710+4.1.1.49
NODE_627_length_2142_cov_2.286536_2	Pfam	PF01943	IPR002797	Polysaccharide biosynthesis protein	GO:0016020	"NA"
NODE_6270_length_286_cov_0.917749_1	Pfam	PF01527	IPR002514	Transposase	GO:0003677,GO:0004803,GO:0006313	"NA"
NODE_6272_length_285_cov_42.604348_2	Pfam	PF00534	IPR001296	Glycosyl transferases group 1	"NA"	"NA"
NODE_6274_length_285_cov_1.852174_1	TIGRFAM	TIGR01918	IPR010187	various_sel_PB: selenoprotein B, glycine/betaine/sarcosine/D-proline reductase family	GO:0050485,GO:0055114	"NA"
NODE_6274_length_285_cov_1.852174_2	Pfam	PF07355	IPR010187	Glycine/sarcosine/betaine reductase selenoprotein B (GRDB)	GO:0050485,GO:0055114	"NA"
NODE_6275_length_285_cov_1.773913_1	Pfam	PF00224	IPR015793	Pyruvate kinase, barrel domain	GO:0000287,GO:0004743,GO:0006096,GO:0030955	KEGG:00010+2.7.1.40,KEGG:00230+2.7.1.40,KEGG:00620+2.7.1.40
NODE_6276_length_285_cov_1.739130_1	Pfam	PF04207	IPR005779	Tetrahydromethanopterin S-methyltransferase, subunit D	GO:0005737,GO:0006814,GO:0012506,GO:0030269	KEGG:00680+2.1.1.86
NODE_628_length_2140_cov_2.996643_1	Pfam,CDD	PF08299,cd06571	IPR013159	Bacterial dnaA protein helix-turn-helix,Bac_DnaA_C	GO:0005524,GO:0006270,GO:0006275,GO:0043565	"NA"
NODE_628_length_2140_cov_2.996643_2	Pfam,Pfam,CDD,Pfam,TIGRFAM	PF02768,PF00712,cd00140,PF02767,TIGR00663	IPR022635,IPR022634,IPR001001,IPR022637	DNA polymerase III beta subunit, C-terminal domain,DNA polymerase III beta subunit, N-terminal domain,beta_clamp,DNA polymerase III beta subunit, central domain,dnan: DNA polymerase III, beta subunit	GO:0003677,GO:0003887,GO:0006260,GO:0008408,GO:0009360	KEGG:00230+2.7.7.7,KEGG:00240+2.7.7.7
NODE_628_length_2140_cov_2.996643_3	CDD,Pfam	cd00165,PF13275	"NA"	S4,S4 domain	"NA"	"NA"
NODE_628_length_2140_cov_2.996643_4	Pfam	PF13476	"NA"	AAA domain	"NA"	"NA"
NODE_6280_length_285_cov_1.234783_1	Pfam	PF01512	IPR011538	Respiratory-chain NADH dehydrogenase 51 Kd subunit	"NA"	"NA"
NODE_6285_length_285_cov_0.926087_1	Pfam	PF00006	IPR000194	ATP synthase alpha/beta family, nucleotide-binding domain	GO:0005524	KEGG:00190+3.6.3.14,KEGG:00195+3.6.3.14
NODE_6287_length_285_cov_0.926087_1	Pfam	PF02653	IPR001851	Branched-chain amino acid transport system / permease component	GO:0005215,GO:0006810,GO:0016020	"NA"
NODE_629_length_2131_cov_38.832370_1	CDD,Pfam,Pfam,CDD	cd03221,PF00005,PF00005,cd03221	IPR003439	ABCF_EF-3,ABC transporter,ABC transporter,ABCF_EF-3	GO:0005524,GO:0016887	"NA"
NODE_6290_length_285_cov_0.926087_1	Pfam	PF02516	IPR003674	Oligosaccharyl transferase STT3 subunit	GO:0004576,GO:0006486,GO:0016020	"NA"
NODE_6293_length_284_cov_2.087336_1	Pfam	PF11799	IPR017961	impB/mucB/samB family C-terminal domain	GO:0003684,GO:0006281	KEGG:00230+2.7.7.7,KEGG:00240+2.7.7.7
NODE_6295_length_284_cov_1.855895_1	CDD,Pfam	cd04301,PF00583	IPR000182	NAT_SF,Acetyltransferase (GNAT) family	GO:0008080	"NA"
NODE_6296_length_284_cov_1.851528_1	Pfam	PF03462	IPR005139	PCRF domain	GO:0006415	"NA"
NODE_6299_length_284_cov_1.550218_1	Pfam	PF02781	IPR022675	Glucose-6-phosphate dehydrogenase, C-terminal domain	GO:0004345,GO:0006006,GO:0050661,GO:0055114	KEGG:00030+1.1.1.49,KEGG:00480+1.1.1.49
NODE_63_length_38124_cov_453.906275_14	Pfam,CDD,Pfam	PF06165,cd11752,PF17167	IPR010383,IPR033432	Glycosyltransferase family 36,GH94N_CDP_like,Glycosyl hydrolase 36 superfamily, catalytic domain	"NA"	"NA"
NODE_63_length_38124_cov_453.906275_16	Hamap,TIGRFAM,Pfam	MF_01401,TIGR00401,PF01625	IPR002569	Peptide methionine sulfoxide reductase MsrA [msrA].,msrA: peptide-methionine (S)-S-oxide reductase,Peptide methionine sulfoxide reductase	GO:0008113,GO:0055114	"NA"
NODE_63_length_38124_cov_453.906275_17	Pfam,CDD,Pfam	PF00724,cd02803,PF07992	IPR001155,IPR023753	NADH:flavin oxidoreductase / NADH oxidase family,OYE_like_FMN_family,Pyridine nucleotide-disulphide oxidoreductase	GO:0010181,GO:0016491,GO:0055114	"NA"
NODE_63_length_38124_cov_453.906275_18	Pfam,Pfam,TIGRFAM	PF08281,PF04542,TIGR02937	IPR013249,IPR007627,IPR014284	Sigma-70, region 4,Sigma-70 region 2,sigma70-ECF: RNA polymerase sigma factor, sigma-70 family	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987	"NA"
NODE_63_length_38124_cov_453.906275_2	Pfam,Pfam,CDD	PF13545,PF00027,cd00038	IPR012318,IPR000595	Crp-like helix-turn-helix domain,Cyclic nucleotide-binding domain,CAP_ED	GO:0003677,GO:0006355	"NA"
NODE_63_length_38124_cov_453.906275_22	CDD,TIGRFAM,Pfam	cd03169,TIGR01382,PF01965	IPR006286,IPR002818	GATase1_PfpI_1,PfpI: intracellular protease, PfpI family,DJ-1/PfpI family	"NA"	"NA"
NODE_63_length_38124_cov_453.906275_24	Pfam,Pfam	PF00005,PF00664	IPR003439,IPR011527	ABC transporter,ABC transporter transmembrane region	GO:0005524,GO:0016887,GO:0006810,GO:0016021,GO:0042626,GO:0055085	"NA"
NODE_63_length_38124_cov_453.906275_25	CDD	cd04301	"NA"	NAT_SF	"NA"	"NA"
NODE_63_length_38124_cov_453.906275_26	Pfam	PF01384	IPR001204	Phosphate transporter family	GO:0005315,GO:0006817,GO:0016020	"NA"
NODE_63_length_38124_cov_453.906275_27	Pfam	PF01865	IPR018445	Protein of unknown function DUF47	"NA"	"NA"
NODE_63_length_38124_cov_453.906275_29	Pfam,Pfam,Pfam,Pfam,CDD,TIGRFAM,Pfam,Pfam	PF13187,PF02256,PF13510,PF07992,cd00207,TIGR02512,PF02906,PF14691	IPR017896,IPR003149,IPR023753,IPR001041,IPR013352,IPR004108,IPR028261	4Fe-4S dicluster domain,Iron hydrogenase small subunit,2Fe-2S iron-sulfur cluster binding domain,Pyridine nucleotide-disulphide oxidoreductase,fer2,FeFe_hydrog_A: [FeFe] hydrogenase, group A,Iron only hydrogenase large subunit, C-terminal domain,Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster	GO:0016491,GO:0055114,GO:0009055,GO:0051536,GO:0005506,GO:0008901	"NA"
NODE_63_length_38124_cov_453.906275_3	Pfam,Pfam	PF12837,PF00037	IPR017896	4Fe-4S binding domain,4Fe-4S binding domain	"NA"	"NA"
NODE_63_length_38124_cov_453.906275_30	CDD,CDD,CDD,Pfam,Pfam,Pfam,Pfam,CDD	cd00118,cd00118,cd00118,PF01476,PF01476,PF01476,PF01476,cd00118	IPR018392	LysM,LysM,LysM,LysM domain,LysM domain,LysM domain,LysM domain,LysM	"NA"	"NA"
NODE_63_length_38124_cov_453.906275_31	CDD,Pfam,Pfam,Pfam,CDD,Pfam,CDD	cd00118,PF01476,PF01476,PF01476,cd00118,PF03734,cd00118	IPR018392,IPR005490	LysM,LysM domain,LysM domain,LysM domain,LysM,L,D-transpeptidase catalytic domain,LysM	GO:0016740	"NA"
NODE_63_length_38124_cov_453.906275_32	CDD,Pfam,Pfam,Pfam,CDD	cd00118,PF03734,PF01476,PF01476,cd00118	IPR018392,IPR005490	LysM,L,D-transpeptidase catalytic domain,LysM domain,LysM domain,LysM	GO:0016740	"NA"
NODE_63_length_38124_cov_453.906275_33	Pfam,Pfam	PF00081,PF02777	IPR019831,IPR019832	Iron/manganese superoxide dismutases, alpha-hairpin domain,Iron/manganese superoxide dismutases, C-terminal domain	GO:0004784,GO:0006801,GO:0046872,GO:0055114	"NA"
NODE_63_length_38124_cov_453.906275_4	Pfam,Pfam	PF12801,PF12801	IPR017896	4Fe-4S binding domain,4Fe-4S binding domain	"NA"	"NA"
NODE_63_length_38124_cov_453.906275_5	Pfam	PF12822	IPR024529	ECF transporter, substrate-specific component	GO:0005215	"NA"
NODE_63_length_38124_cov_453.906275_6	Pfam	PF00497	IPR001638	Bacterial extracellular solute-binding proteins, family 3	"NA"	"NA"
NODE_63_length_38124_cov_453.906275_7	Pfam,CDD	PF00015,cd06225	IPR004089,IPR003660	Methyl-accepting chemotaxis protein (MCP) signalling domain,HAMP	GO:0004871,GO:0007165,GO:0016020,GO:0016021	"NA"
NODE_63_length_38124_cov_453.906275_9	Pfam	PF00005	IPR003439	ABC transporter	GO:0005524,GO:0016887	"NA"
NODE_630_length_2130_cov_243.616867_1	Pfam	PF00291	IPR001926	Pyridoxal-phosphate dependent enzyme	"NA"	"NA"
NODE_630_length_2130_cov_243.616867_2	Pfam,CDD	PF00359,cd00211	IPR002178	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2,PTS_IIA_fru	"NA"	"NA"
NODE_6300_length_284_cov_1.545852_1	Pfam	PF00135	IPR002018	Carboxylesterase family	"NA"	"NA"
NODE_6303_length_284_cov_1.449782_1	Pfam	PF01895	IPR026022	PhoU domain	"NA"	"NA"
NODE_6304_length_284_cov_1.441048_1	Pfam	PF05717	IPR008878	IS66 Orf2 like protein	"NA"	"NA"
NODE_6306_length_284_cov_1.240175_1	Pfam	PF01261	IPR013022	Xylose isomerase-like TIM barrel	"NA"	"NA"
NODE_6307_length_284_cov_1.240175_1	Pfam	PF05157	IPR007831	Type II secretion system (T2SS), protein E, N-terminal domain	GO:0005524,GO:0006810	"NA"
NODE_6308_length_284_cov_1.240175_1	Pfam	PF00586	IPR016188	AIR synthase related protein, N-terminal domain	"NA"	"NA"
NODE_631_length_2128_cov_1.748673_1	TIGRFAM,CDD,Pfam	TIGR00500,cd01086,PF00557	IPR002467,IPR000994	met_pdase_I: methionine aminopeptidase, type I,MetAP1,Metallopeptidase family M24	GO:0004177,GO:0006508,GO:0008235	"NA"
NODE_631_length_2128_cov_1.748673_2	Pfam,TIGRFAM,Pfam,CDD,Hamap	PF00406,TIGR01351,PF05191,cd01428,MF_00235	IPR006259,IPR007862,IPR000850	Adenylate kinase,adk: adenylate kinase,Adenylate kinase, active site lid,ADK,Adenylate kinase [adk].	GO:0004017,GO:0005524,GO:0016776,GO:0006139,GO:0019205	KEGG:00230+2.7.4.3,KEGG:00730+2.7.4.3
NODE_631_length_2128_cov_1.748673_3	Pfam,TIGRFAM,Hamap	PF00344,TIGR00967,MF_01465	IPR002208,IPR026593	SecY translocase,3a0501s007: preprotein translocase, SecY subunit,Protein translocase subunit SecY [secY].	GO:0015031,GO:0016020	"NA"
NODE_6312_length_284_cov_1.235808_1	Pfam	PF06745	IPR014774	KaiC	"NA"	"NA"
NODE_6315_length_284_cov_1.174672_1	Pfam	PF02631	IPR003783	RecX family	GO:0006282	"NA"
NODE_6316_length_284_cov_1.170306_1	Pfam	PF01068	IPR012310	ATP dependent DNA ligase domain	GO:0003910,GO:0005524,GO:0006281,GO:0006310	"NA"
NODE_6317_length_284_cov_1.139738_1	Pfam	PF00730	IPR003265	HhH-GPD superfamily base excision DNA repair protein	GO:0006284	"NA"
NODE_6319_length_284_cov_0.930131_1	Pfam	PF00005	IPR003439	ABC transporter	GO:0005524,GO:0016887	"NA"
NODE_632_length_2125_cov_14.830435_2	Pfam,TIGRFAM,Pfam	PF16916,TIGR01297,PF01545	IPR027470,IPR002524	Dimerisation domain of Zinc Transporter,CDF: cation diffusion facilitator family transporter,Cation efflux family	GO:0006812,GO:0008324,GO:0016021,GO:0055085	"NA"
NODE_632_length_2125_cov_14.830435_3	TIGRFAM,Pfam,Hamap	TIGR00009,PF00830,MF_00373	IPR001383,IPR026569	L28: ribosomal protein bL28,Ribosomal L28 family,50S ribosomal protein L28 [rpmB].	GO:0003735,GO:0005622,GO:0005840,GO:0006412	"NA"
NODE_632_length_2125_cov_14.830435_4	Pfam	PF03780	IPR005531	Asp23 family, cell envelope-related function	"NA"	"NA"
NODE_632_length_2125_cov_14.830435_5	Pfam	PF02734	IPR004007	DAK2 domain	GO:0004371,GO:0006071	"NA"
NODE_6320_length_284_cov_0.930131_1	Pfam	PF01136	IPR001539	Peptidase family U32	GO:0006508,GO:0008233	"NA"
NODE_6321_length_284_cov_0.930131_1	CDD,Pfam	cd01610,PF01569	IPR000326	PAP2_like,PAP2 superfamily	"NA"	"NA"
NODE_6322_length_284_cov_0.925764_1	Pfam,CDD	PF00270,cd00046	IPR011545	DEAD/DEAH box helicase,DEXDc	GO:0003676,GO:0005524	"NA"
NODE_6324_length_284_cov_0.882096_1	Pfam	PF00763	IPR020630	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	GO:0004488,GO:0055114	KEGG:00670+1.5.1.5+3.5.4.9,KEGG:00720+1.5.1.5+3.5.4.9
NODE_6325_length_283_cov_2.491228_1	Pfam	PF02934	IPR006075	GatB/GatE catalytic domain	GO:0016874	"NA"
